Player,Pos,Bye,Team,Projected $,Skew,Paid,Inflated $ Value,,,,,,,,,,,,,
Baron Batch,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Michael Robinson,RB,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Jacob Hester,RB,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Montell Owens,RB,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Tashard Choice,RB,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Keiland Williams,RB,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Jed Collins,RB,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Orson Charles,RB,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Danny Ware,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Darrel Young,RB,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Le'Ron McClain,RB,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Kahlil Bell,RB,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Ryan Torain,RB,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Michael Ford,RB,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
